CustomerID,Age,Gender,Tenure,ServicePlan,ContractType,MonthlyCharges,TotalCharges,Churn
982,22,Male,51,Basic,One-year,68.0,3468.0,0
983,23,Male,44,Basic,Month-to-month,83.0,3652.0,0
984,55,Female,38,Premium,Month-to-month,37.65,1430.7,1
985,25,Female,26,Premium,One-year,73.66,1915.16,1
986,61,Female,24,Basic,Two-year,114.68,2752.32,1
987,20,Female,52,Basic,Month-to-month,104.46,5431.92,0
988,26,Female,54,Premium,Month-to-month,34.17,1845.18,0
989,51,Female,30,Basic,Month-to-month,32.3,969.0,1
990,48,Female,15,Basic,Two-year,87.44,1311.6,0
991,31,Male,70,Premium,One-year,88.35,6184.5,0
992,23,Female,63,Premium,One-year,57.84,3643.92,1
993,57,Female,65,Premium,Two-year,65.93,4285.45,1
994,26,Female,22,Basic,Month-to-month,65.85,1448.7,1
995,54,Male,6,Premium,Month-to-month,48.06,288.36,0
996,66,Female,35,Basic,Two-year,78.53,2748.55,1
997,67,Male,39,Premium,One-year,63.07,2459.73,1
998,70,Female,55,Basic,Month-to-month,81.27,4469.85,0
999,49,Female,15,Basic,Two-year,88.13,1321.95,1
1000,56,Female,66,Premium,Month-to-month,47.18,3113.88,1
1001,52,Female,41,Premium,One-year,82.2,3370.2,1
1002,25,Male,23,Basic,Two-year,34.19,786.37,1
1003,66,Male,40,Premium,One-year,48.16,1926.4,1
1004,20,Male,27,Premium,Month-to-month,66.84,1804.68,1
1005,41,Female,38,Premium,Month-to-month,59.55,2262.9,1
1006,44,Female,48,Basic,Two-year,95.75,4596.0,0
1007,33,Female,12,Basic,One-year,75.07,900.84,1
1008,48,Female,8,Basic,Two-year,97.81,782.48,1
1009,21,Female,5,Premium,Month-to-month,76.34,381.7,0
1010,46,Male,40,Basic,Two-year,67.01,2680.4,1
1011,52,Male,48,Basic,Two-year,95.47,4582.56,0
1012,23,Male,48,Basic,Month-to-month,63.78,3061.44,1
1013,29,Female,72,Premium,Two-year,66.95,4820.4,1
1014,51,Female,49,Premium,One-year,107.91,5287.59,1
1015,18,Male,29,Basic,Two-year,108.45,3145.05,0
1016,28,Female,8,Premium,Month-to-month,42.93,343.44,0
1017,66,Male,39,Basic,Two-year,102.43,3994.77,0
1018,35,Female,45,Premium,Month-to-month,94.3,4243.5,1
1019,53,Male,69,Premium,Month-to-month,110.45,7621.05,1
1020,18,Male,3,Basic,One-year,85.2,255.6,1
1021,51,Female,43,Basic,One-year,44.94,1932.42,0
1022,50,Female,18,Premium,One-year,67.33,1211.94,1
1023,30,Male,50,Premium,Two-year,97.3,4865.0,1
1024,66,Female,32,Premium,Month-to-month,102.12,3267.84,1
1025,44,Male,21,Basic,One-year,51.98,1091.58,1
1026,50,Male,3,Basic,One-year,81.17,243.51,1
1027,27,Male,60,Basic,One-year,72.74,4364.4,0
1028,38,Female,52,Premium,One-year,90.51,4706.52,1
1029,38,Male,57,Basic,Month-to-month,68.74,3918.18,0
1030,38,Female,44,Basic,One-year,114.26,5027.44,1
1031,59,Male,31,Basic,Month-to-month,118.15,3662.65,0
1032,55,Female,58,Basic,One-year,106.42,6172.36,1
1033,26,Male,14,Premium,Two-year,96.57,1351.98,1
1034,66,Male,56,Basic,Two-year,36.07,2019.92,0
1035,55,Female,38,Basic,Two-year,92.11,3500.18,0
1036,24,Female,63,Premium,Two-year,34.82,2193.66,0
1037,65,Female,9,Basic,One-year,117.21,1054.89,1
1038,32,Female,11,Basic,Two-year,117.32,1290.52,0
1039,66,Male,67,Basic,One-year,32.86,2201.62,1
1040,70,Male,30,Basic,Two-year,69.99,2099.7,0
1041,58,Female,46,Basic,Month-to-month,100.19,4608.74,1
1042,35,Male,25,Basic,One-year,35.63,890.75,0
1043,36,Female,29,Basic,One-year,96.46,2797.34,1
1044,20,Male,32,Premium,Month-to-month,33.5,1072.0,0
1045,49,Male,14,Basic,Month-to-month,69.21,968.94,0
1046,57,Male,22,Basic,One-year,63.03,1386.66,1
1047,21,Female,20,Premium,One-year,48.41,968.2,1
1048,46,Male,34,Basic,Month-to-month,98.8,3359.2,1
1049,43,Female,45,Premium,One-year,107.82,4851.9,0
1050,61,Female,32,Premium,One-year,92.34,2954.88,0
1051,48,Male,10,Premium,Two-year,48.86,488.6,0
1052,28,Male,11,Basic,One-year,38.34,421.74,0
1053,50,Male,65,Premium,Month-to-month,67.82,4408.3,0
1054,32,Female,56,Premium,Two-year,81.48,4562.88,0
1055,29,Female,24,Premium,Two-year,56.72,1361.28,0
1056,70,Female,70,Basic,One-year,118.46,8292.2,0
1057,25,Male,20,Basic,Two-year,113.46,2269.2,1
1058,38,Male,45,Basic,Month-to-month,110.6,4977.0,0
1059,41,Male,21,Premium,Month-to-month,31.1,653.1,1
1060,67,Male,51,Basic,Two-year,109.81,5600.31,0
1061,52,Female,54,Basic,Two-year,104.64,5650.56,1
1062,32,Female,1,Basic,Two-year,66.9,66.9,0
1063,70,Female,55,Basic,One-year,31.72,1744.6,1
1064,65,Female,59,Basic,One-year,48.18,2842.62,1
1065,53,Male,12,Premium,Month-to-month,88.7,1064.4,1
1066,70,Female,61,Premium,Month-to-month,48.74,2973.14,1
1067,58,Female,65,Premium,Two-year,103.5,6727.5,1
1068,59,Female,70,Basic,One-year,41.03,2872.1,0
1069,37,Male,70,Premium,One-year,51.21,3584.7,1
1070,54,Female,67,Premium,Month-to-month,58.53,3921.51,0
1071,36,Male,8,Premium,Two-year,45.37,362.96,0
1072,67,Male,3,Premium,Month-to-month,95.33,285.99,1
1073,45,Female,9,Basic,Month-to-month,52.93,476.37,1
1074,68,Female,66,Premium,Two-year,90.63,5981.58,1
1075,62,Male,69,Basic,Month-to-month,72.84,5025.96,1
1076,66,Female,56,Premium,Two-year,110.03,6161.68,1
1077,68,Female,36,Basic,Two-year,115.73,4166.28,1
1078,58,Female,68,Basic,Two-year,83.41,5671.88,1
1079,64,Male,38,Basic,One-year,105.3,4001.4,0
1080,43,Male,40,Premium,Two-year,62.89,2515.6,0
1081,21,Male,52,Premium,One-year,101.04,5254.08,0
1082,63,Male,6,Premium,Two-year,73.93,443.58,1
1083,32,Female,41,Premium,One-year,110.32,4523.12,1
1084,50,Male,23,Premium,Month-to-month,33.74,776.02,1
1085,36,Female,56,Basic,Month-to-month,31.38,1757.28,1
1086,39,Male,25,Premium,One-year,81.7,2042.5,0
1087,69,Male,39,Premium,One-year,61.19,2386.41,1
1088,32,Male,45,Basic,Month-to-month,101.34,4560.3,0
1089,62,Male,21,Premium,Two-year,108.93,2287.53,0
1090,57,Male,62,Basic,One-year,85.15,5279.3,0
1091,66,Female,65,Premium,Month-to-month,40.33,2621.45,1
1092,18,Female,48,Premium,Two-year,37.51,1800.48,1
1093,48,Male,71,Basic,Two-year,50.68,3598.28,1
1094,33,Male,61,Basic,One-year,31.31,1909.91,0
1095,56,Male,33,Basic,Month-to-month,48.19,1590.27,1
1096,45,Male,1,Basic,Two-year,87.99,87.99,0
1097,24,Male,53,Basic,Month-to-month,101.93,5402.29,1
1098,40,Female,29,Basic,One-year,65.39,1896.31,1
1099,38,Male,71,Basic,One-year,57.03,4049.13,0
1100,34,Female,15,Premium,One-year,111.21,1668.15,1
1101,54,Female,69,Premium,Month-to-month,68.98,4759.62,0
1102,62,Male,50,Basic,One-year,32.11,1605.5,1
1103,69,Male,53,Basic,One-year,106.37,5637.61,1
1104,45,Male,27,Basic,Two-year,30.13,813.51,1
1105,21,Male,33,Basic,One-year,101.63,3353.79,1
1106,65,Male,44,Basic,Month-to-month,79.75,3509.0,1
1107,45,Male,8,Premium,One-year,84.61,676.88,1
1108,28,Female,50,Basic,Month-to-month,93.15,4657.5,0
1109,49,Female,64,Premium,One-year,71.98,4606.72,1
1110,30,Male,10,Premium,Two-year,58.37,583.7,0
1111,22,Male,7,Basic,Two-year,40.97,286.79,1
1112,24,Female,59,Premium,Month-to-month,92.17,5438.03,1
1113,40,Female,15,Premium,One-year,49.43,741.45,0
1114,57,Female,52,Premium,One-year,38.96,2025.92,0
1115,57,Female,10,Basic,One-year,94.99,949.9,1
1116,20,Female,48,Basic,Two-year,81.16,3895.68,0
1117,52,Male,35,Basic,Two-year,79.23,2773.05,0
1118,51,Male,41,Premium,One-year,45.78,1876.98,1
1119,47,Female,60,Premium,Two-year,102.89,6173.4,1
1120,60,Female,16,Premium,Month-to-month,101.94,1631.04,1
1121,69,Male,63,Premium,One-year,64.62,4071.06,1
1122,28,Female,15,Basic,Two-year,52.48,787.2,0
1123,44,Male,31,Premium,One-year,49.03,1519.93,0
1124,40,Male,3,Premium,Month-to-month,59.41,178.23,1
1125,30,Female,1,Basic,Month-to-month,79.99,79.99,1
1126,64,Female,17,Basic,Two-year,116.75,1984.75,1
1127,18,Male,53,Basic,One-year,58.65,3108.45,1
1128,51,Female,27,Premium,Month-to-month,46.6,1258.2,0
1129,54,Male,50,Basic,One-year,106.22,5311.0,1
1130,28,Female,60,Basic,Month-to-month,60.64,3638.4,1
1131,48,Male,16,Basic,Month-to-month,51.48,823.68,0
1132,36,Male,63,Basic,Month-to-month,77.49,4881.87,1
1133,52,Female,40,Basic,Two-year,114.87,4594.8,0
1134,40,Male,28,Basic,Month-to-month,83.67,2342.76,0
1135,52,Female,64,Basic,Month-to-month,87.48,5598.72,0
1136,50,Female,52,Basic,Two-year,38.51,2002.52,0
1137,34,Male,32,Basic,Two-year,71.1,2275.2,1
1138,23,Female,10,Basic,Month-to-month,101.64,1016.4,1
1139,40,Female,48,Basic,Month-to-month,51.93,2492.64,1
1140,35,Male,69,Premium,Month-to-month,39.26,2708.94,1
1141,55,Male,44,Basic,Two-year,93.72,4123.68,0
1142,43,Male,63,Premium,Two-year,112.82,7107.66,0
1143,56,Female,46,Basic,Month-to-month,33.37,1535.02,1
1144,48,Female,26,Premium,Two-year,75.33,1958.58,1
1145,67,Male,7,Basic,One-year,68.1,476.7,0
1146,35,Male,3,Premium,Two-year,47.79,143.37,1
1147,38,Male,56,Basic,One-year,114.7,6423.2,1
1148,46,Female,5,Premium,One-year,99.11,495.55,0
1149,67,Female,66,Premium,Two-year,62.55,4128.3,1
1150,54,Female,29,Basic,Month-to-month,110.58,3206.82,0
1151,36,Female,54,Basic,One-year,96.49,5210.46,0
1152,35,Female,39,Basic,Two-year,43.23,1685.97,1
1153,70,Female,14,Premium,One-year,85.31,1194.34,0
1154,22,Female,27,Basic,One-year,73.2,1976.4,0
1155,62,Female,49,Premium,Month-to-month,64.0,3136.0,1
1156,56,Female,21,Basic,Month-to-month,105.73,2220.33,1
1157,59,Male,3,Basic,Two-year,102.13,306.39,0
1158,28,Female,40,Basic,Month-to-month,71.79,2871.6,1
1159,49,Male,41,Premium,One-year,102.4,4198.4,0
1160,40,Male,54,Basic,Month-to-month,34.34,1854.36,0
1161,68,Female,40,Basic,One-year,106.31,4252.4,1
1162,51,Male,4,Premium,One-year,103.76,415.04,0
1163,70,Male,2,Basic,One-year,113.64,227.28,0
1164,48,Female,67,Basic,One-year,38.76,2596.92,1
1165,42,Female,23,Premium,Two-year,43.35,997.05,1
1166,18,Female,41,Basic,Month-to-month,110.58,4533.78,1
1167,37,Male,39,Premium,Two-year,64.26,2506.14,1
1168,67,Female,6,Premium,One-year,104.82,628.92,1
1169,64,Male,63,Premium,One-year,38.05,2397.15,1
1170,39,Male,40,Premium,Month-to-month,64.92,2596.8,0
1171,42,Female,58,Premium,Two-year,52.24,3029.92,0
1172,26,Female,29,Premium,One-year,69.05,2002.45,1
1173,18,Male,60,Basic,Month-to-month,47.68,2860.8,1
1174,42,Female,32,Premium,One-year,70.83,2266.56,0
1175,52,Female,20,Basic,Month-to-month,74.29,1485.8,0
1176,61,Female,52,Premium,Two-year,90.38,4699.76,0
1177,20,Male,65,Premium,Two-year,60.33,3921.45,1
1178,22,Female,12,Premium,Month-to-month,81.35,976.2,0
1179,34,Female,25,Basic,One-year,72.26,1806.5,1
1180,44,Male,44,Premium,Two-year,70.35,3095.4,1
1181,35,Male,49,Basic,Month-to-month,84.71,4150.79,0
1182,58,Male,37,Basic,One-year,71.29,2637.73,0
1183,45,Male,25,Premium,Two-year,62.4,1560.0,1
1184,20,Female,20,Premium,Month-to-month,79.16,1583.2,1
1185,48,Female,16,Basic,Two-year,71.69,1147.04,1
1186,57,Male,47,Basic,Two-year,31.92,1500.24,1
1187,66,Female,33,Basic,One-year,64.33,2122.89,1
1188,58,Male,41,Basic,Month-to-month,115.62,4740.42,1
1189,36,Female,24,Basic,One-year,84.34,2024.16,0
1190,18,Male,53,Basic,Two-year,115.39,6115.67,1
1191,42,Male,56,Premium,One-year,41.77,2339.12,1
1192,19,Female,1,Premium,Two-year,107.01,107.01,0
1193,56,Male,71,Basic,One-year,103.44,7344.24,1
1194,62,Female,3,Premium,Month-to-month,72.74,218.22,0
1195,46,Male,15,Basic,Two-year,75.84,1137.6,1
1196,53,Male,47,Basic,Two-year,88.36,4152.92,1
1197,66,Female,35,Premium,One-year,56.27,1969.45,0
1198,70,Female,19,Basic,One-year,41.95,797.05,0
1199,49,Female,19,Premium,Two-year,107.19,2036.61,1
1200,53,Female,9,Basic,Month-to-month,35.37,318.33,1
1201,34,Male,31,Basic,One-year,112.62,3491.22,0
1202,60,Female,57,Basic,One-year,69.39,3955.23,0
1203,50,Female,69,Premium,Two-year,93.45,6448.05,1
1204,52,Male,66,Premium,Two-year,81.43,5374.38,1
1205,40,Female,23,Premium,One-year,42.77,983.71,1
1206,34,Female,16,Basic,One-year,82.55,1320.8,0
1207,55,Male,56,Basic,Two-year,109.39,6125.84,1
1208,39,Male,8,Premium,One-year,41.24,329.92,1
1209,49,Male,65,Basic,One-year,80.72,5246.8,0
1210,61,Female,27,Basic,Month-to-month,112.49,3037.23,1
1211,69,Female,29,Premium,One-year,78.91,2288.39,1
1212,32,Female,63,Premium,One-year,113.09,7124.67,0
1213,21,Male,17,Premium,One-year,40.55,689.35,1
1214,21,Female,22,Premium,Two-year,73.64,1620.08,1
1215,69,Female,28,Basic,Two-year,35.59,996.52,0
1216,24,Male,39,Basic,Month-to-month,58.31,2274.09,0
1217,64,Female,68,Premium,Month-to-month,54.01,3672.68,0
1218,44,Male,62,Premium,One-year,32.25,1999.5,0
1219,42,Male,24,Basic,One-year,93.07,2233.68,0
1220,59,Female,71,Premium,Month-to-month,52.18,3704.78,0
1221,33,Female,16,Premium,Month-to-month,39.89,638.24,1
1222,51,Male,46,Premium,Two-year,107.19,4930.74,1
1223,38,Male,29,Premium,Two-year,68.93,1998.97,1
1224,45,Male,59,Basic,One-year,100.7,5941.3,0
1225,48,Male,39,Premium,Two-year,52.61,2051.79,0
1226,56,Male,17,Basic,One-year,108.43,1843.31,1
1227,42,Male,69,Premium,Month-to-month,71.48,4932.12,1
1228,29,Male,37,Basic,Month-to-month,81.1,3000.7,0
1229,30,Male,12,Premium,Two-year,43.35,520.2,1
1230,23,Male,39,Premium,Month-to-month,48.86,1905.54,1
1231,27,Male,58,Basic,Two-year,110.16,6389.28,1
1232,67,Female,68,Basic,One-year,95.64,6503.52,1
1233,48,Male,7,Basic,One-year,32.23,225.61,1
1234,27,Female,3,Premium,One-year,65.01,195.03,0
1235,23,Male,30,Basic,Two-year,41.54,1246.2,0
1236,47,Female,35,Premium,One-year,47.96,1678.6,1
1237,64,Male,34,Basic,One-year,85.61,2910.74,0
1238,64,Male,65,Basic,Two-year,51.3,3334.5,0
1239,24,Female,57,Basic,One-year,117.25,6683.25,0
1240,21,Female,12,Premium,Month-to-month,40.97,491.64,1
1241,46,Male,34,Basic,Two-year,91.35,3105.9,0
1242,27,Female,52,Premium,One-year,115.19,5989.88,0
1243,45,Male,16,Basic,Month-to-month,104.01,1664.16,0
1244,51,Female,46,Premium,One-year,49.62,2282.52,0
1245,35,Male,20,Premium,One-year,103.78,2075.6,1
1246,51,Female,39,Premium,One-year,107.82,4204.98,1
1247,53,Female,31,Premium,One-year,94.16,2918.96,0
1248,21,Female,67,Basic,Two-year,35.24,2361.08,1
1249,47,Female,7,Basic,Month-to-month,83.94,587.58,1
1250,29,Female,67,Premium,Month-to-month,110.8,7423.6,1
1251,55,Female,66,Basic,One-year,64.1,4230.6,0
1252,61,Female,42,Basic,Month-to-month,38.48,1616.16,0
1253,70,Male,54,Premium,Two-year,98.94,5342.76,0
1254,32,Male,29,Basic,Month-to-month,72.93,2114.97,1
1255,51,Female,24,Basic,Two-year,73.8,1771.2,0
1256,61,Male,51,Basic,Two-year,72.34,3689.34,0
1257,34,Female,50,Basic,Month-to-month,56.61,2830.5,1
1258,67,Male,1,Basic,Month-to-month,100.53,100.53,1
1259,40,Male,1,Basic,Two-year,62.26,62.26,0
1260,26,Male,28,Premium,Two-year,86.55,2423.4,0
1261,27,Female,63,Basic,One-year,87.96,5541.48,1
1262,34,Female,42,Premium,Month-to-month,81.86,3438.12,1
1263,42,Male,63,Basic,Month-to-month,53.92,3396.96,1
1264,54,Male,69,Premium,One-year,71.88,4959.72,1
1265,20,Male,51,Premium,Month-to-month,51.23,2612.73,1
1266,22,Male,64,Basic,One-year,65.09,4165.76,0
1267,22,Female,4,Basic,Two-year,81.0,324.0,1
1268,59,Female,38,Basic,Two-year,56.02,2128.76,0
1269,26,Male,66,Premium,One-year,79.11,5221.26,0
1270,38,Male,12,Basic,Month-to-month,101.14,1213.68,1
1271,43,Male,28,Basic,Month-to-month,31.46,880.88,1
1272,28,Male,9,Premium,Month-to-month,54.52,490.68,0
1273,64,Female,7,Basic,Month-to-month,99.04,693.28,1
1274,52,Male,42,Basic,Two-year,65.69,2758.98,0
1275,48,Female,58,Basic,Two-year,116.82,6775.56,1
1276,46,Male,61,Basic,Two-year,59.34,3619.74,1
1277,51,Male,8,Basic,Two-year,115.86,926.88,0
1278,28,Female,49,Basic,Two-year,71.57,3506.93,0
1279,19,Female,3,Basic,Two-year,73.46,220.38,1
1280,26,Female,64,Basic,Month-to-month,97.84,6261.76,0
1281,54,Male,69,Premium,Two-year,59.54,4108.26,1
1282,39,Female,63,Basic,Two-year,57.31,3610.53,1
1283,39,Female,45,Premium,One-year,78.6,3537.0,0
1284,70,Male,2,Premium,Two-year,82.98,165.96,0
1285,31,Male,9,Premium,Two-year,62.74,564.66,1
1286,40,Male,5,Premium,One-year,62.15,310.75,0
1287,46,Female,68,Premium,Month-to-month,82.61,5617.48,0
1288,39,Female,60,Basic,One-year,38.17,2290.2,1
1289,28,Female,28,Premium,Month-to-month,76.06,2129.68,1
1290,35,Female,7,Basic,One-year,111.23,778.61,1
1291,40,Male,69,Basic,Month-to-month,111.43,7688.67,0
1292,39,Male,47,Basic,Month-to-month,110.82,5208.54,1
1293,29,Male,52,Premium,Two-year,51.52,2679.04,1
1294,24,Female,4,Premium,One-year,118.48,473.92,0
1295,46,Male,25,Premium,Two-year,68.28,1707.0,0
1296,45,Male,53,Basic,One-year,89.36,4736.08,1
1297,60,Male,51,Basic,Month-to-month,76.26,3889.26,1
1298,36,Male,37,Premium,Two-year,87.31,3230.47,1
1299,51,Male,57,Premium,Two-year,118.15,6734.55,0
1300,41,Male,26,Premium,One-year,90.64,2356.64,0
1301,60,Male,71,Basic,Month-to-month,48.15,3418.65,1
1302,66,Male,24,Premium,Two-year,107.65,2583.6,0
1303,33,Male,67,Premium,Two-year,38.41,2573.47,0
1304,31,Male,4,Basic,Month-to-month,110.64,442.56,1
1305,61,Female,61,Basic,One-year,31.13,1898.93,0
1306,67,Female,72,Premium,Month-to-month,57.18,4116.96,1
1307,61,Female,6,Premium,Month-to-month,102.67,616.02,0
1308,44,Female,71,Premium,Month-to-month,90.27,6409.17,0
1309,56,Female,55,Basic,Month-to-month,80.11,4406.05,1
1310,59,Female,69,Basic,Two-year,57.44,3963.36,1
1311,69,Male,13,Basic,Month-to-month,101.88,1324.44,1
1312,53,Male,56,Basic,One-year,70.68,3958.08,1
1313,39,Male,22,Basic,Two-year,35.71,785.62,1
1314,57,Female,45,Premium,Month-to-month,60.62,2727.9,1
1315,30,Male,13,Basic,Two-year,79.52,1033.76,1
1316,29,Male,52,Basic,Month-to-month,68.94,3584.88,0
1317,41,Male,50,Premium,Month-to-month,35.16,1758.0,0
1318,68,Male,31,Basic,Two-year,54.54,1690.74,1
1319,57,Female,69,Basic,Month-to-month,48.55,3349.95,1
1320,24,Female,34,Basic,One-year,34.15,1161.1,1
1321,60,Female,12,Basic,One-year,31.51,378.12,1
1322,25,Male,55,Premium,Two-year,46.37,2550.35,0
1323,48,Male,47,Premium,One-year,96.74,4546.78,0
1324,22,Male,72,Basic,One-year,90.64,6526.08,1
1325,52,Female,13,Premium,One-year,76.17,990.21,0
1326,18,Male,27,Premium,One-year,66.9,1806.3,0
1327,28,Male,2,Basic,Two-year,118.56,237.12,1
1328,48,Female,4,Premium,One-year,54.28,217.12,1
1329,52,Female,22,Basic,Month-to-month,72.46,1594.12,1
1330,31,Female,45,Basic,Month-to-month,38.56,1735.2,0
1331,37,Male,53,Basic,Two-year,83.71,4436.63,0
1332,59,Female,3,Premium,Two-year,102.29,306.87,0
1333,58,Male,16,Premium,Month-to-month,65.1,1041.6,1
1334,35,Female,32,Premium,One-year,31.96,1022.72,1
1335,43,Male,66,Premium,One-year,99.99,6599.34,1
1336,67,Female,66,Premium,Month-to-month,89.1,5880.6,1
1337,37,Female,18,Basic,One-year,85.26,1534.68,1
1338,29,Male,58,Premium,One-year,67.65,3923.7,1
1339,63,Female,22,Premium,Month-to-month,64.12,1410.64,0
1340,22,Male,66,Basic,Month-to-month,93.42,6165.72,1
1341,30,Female,21,Basic,Two-year,112.99,2372.79,1
1342,42,Female,16,Basic,Month-to-month,57.91,926.56,1
1343,43,Male,53,Basic,Two-year,109.64,5810.92,1
1344,45,Female,28,Premium,Month-to-month,73.35,2053.8,0
1345,60,Female,25,Premium,One-year,57.64,1441.0,0
1346,58,Female,34,Premium,Month-to-month,87.34,2969.56,0
1347,62,Male,53,Basic,Month-to-month,52.41,2777.73,0
1348,40,Male,31,Premium,One-year,83.11,2576.41,1
1349,35,Female,4,Premium,One-year,40.78,163.12,0
1350,50,Male,56,Premium,Month-to-month,72.72,4072.32,1
1351,64,Female,72,Premium,Month-to-month,117.68,8472.96,1
1352,23,Male,3,Premium,Two-year,67.91,203.73,0
1353,50,Male,47,Basic,Month-to-month,78.32,3681.04,0
1354,18,Female,26,Premium,Two-year,37.07,963.82,1
1355,36,Female,22,Premium,Month-to-month,78.53,1727.66,0
1356,30,Female,7,Basic,One-year,92.6,648.2,1
1357,70,Male,70,Premium,One-year,97.03,6792.1,1
1358,66,Male,12,Basic,One-year,76.35,916.2,1
1359,21,Male,7,Basic,Month-to-month,67.79,474.53,0
1360,65,Male,30,Basic,One-year,92.06,2761.8,0
1361,38,Female,12,Basic,One-year,98.7,1184.4,0
1362,68,Male,21,Basic,One-year,118.05,2479.05,0
1363,47,Male,31,Basic,One-year,64.57,2001.67,1
1364,25,Male,38,Premium,Two-year,103.67,3939.46,1
1365,33,Female,54,Premium,Two-year,105.97,5722.38,0
1366,53,Female,70,Basic,One-year,63.1,4417.0,0
1367,25,Male,54,Premium,Month-to-month,63.14,3409.56,1
1368,50,Female,3,Basic,Month-to-month,78.05,234.15,0
1369,38,Male,16,Premium,Month-to-month,78.59,1257.44,0
1370,41,Male,41,Basic,One-year,34.11,1398.51,0
1371,37,Female,68,Premium,Two-year,75.27,5118.36,0
1372,46,Male,64,Premium,Month-to-month,65.1,4166.4,0
1373,51,Female,3,Premium,Two-year,116.97,350.91,0
1374,52,Female,59,Basic,Two-year,65.49,3863.91,0
1375,23,Female,30,Basic,One-year,76.83,2304.9,0
1376,54,Male,7,Premium,Two-year,44.82,313.74,0
1377,42,Male,48,Basic,Month-to-month,31.38,1506.24,1
1378,49,Female,5,Basic,Two-year,34.7,173.5,0
1379,53,Female,45,Basic,Two-year,33.65,1514.25,1
1380,55,Female,64,Premium,One-year,50.27,3217.28,1
1381,20,Male,49,Basic,Month-to-month,43.23,2118.27,0
1382,55,Male,68,Premium,One-year,90.11,6127.48,1
1383,43,Male,36,Basic,One-year,79.77,2871.72,0
1384,35,Female,41,Basic,Two-year,109.01,4469.41,0
1385,57,Female,65,Basic,Two-year,68.45,4449.25,0
1386,36,Male,53,Basic,Two-year,66.03,3499.59,1
1387,67,Female,37,Premium,Month-to-month,37.78,1397.86,0
1388,19,Female,32,Basic,One-year,66.39,2124.48,0
1389,69,Female,54,Basic,Two-year,46.7,2521.8,0
1390,37,Male,44,Premium,Month-to-month,104.5,4598.0,1
1391,59,Male,56,Premium,One-year,99.63,5579.28,1
1392,32,Male,61,Premium,One-year,53.44,3259.84,1
1393,64,Male,24,Premium,Month-to-month,91.67,2200.08,1
1394,43,Female,18,Premium,One-year,97.26,1750.68,0
1395,58,Male,61,Premium,Two-year,80.5,4910.5,0
1396,29,Female,30,Basic,One-year,116.21,3486.3,0
1397,19,Female,42,Basic,One-year,119.57,5021.94,1
1398,33,Male,15,Basic,Two-year,118.01,1770.15,0
1399,47,Male,17,Basic,Month-to-month,117.47,1996.99,0
1400,36,Female,36,Basic,Month-to-month,70.61,2541.96,1
1401,21,Female,42,Premium,One-year,111.76,4693.92,1
1402,63,Male,12,Premium,Month-to-month,87.76,1053.12,0
1403,28,Female,71,Basic,Two-year,108.94,7734.74,1
1404,47,Female,17,Premium,Month-to-month,93.59,1591.03,1
1405,55,Female,26,Basic,One-year,36.2,941.2,0
1406,41,Male,48,Premium,One-year,47.52,2280.96,1
1407,62,Male,57,Basic,One-year,92.42,5267.94,1
1408,33,Female,7,Basic,Month-to-month,93.66,655.62,1
1409,18,Male,9,Premium,Two-year,104.07,936.63,0
1410,59,Female,18,Basic,One-year,99.28,1787.04,1
1411,41,Male,65,Basic,Two-year,79.96,5197.4,1
1412,25,Female,48,Basic,Month-to-month,58.92,2828.16,1
1413,56,Male,4,Basic,One-year,47.39,189.56,1
1414,39,Female,37,Basic,One-year,74.08,2740.96,1
1415,25,Male,67,Basic,Month-to-month,43.81,2935.27,1
1416,25,Male,28,Premium,One-year,98.32,2752.96,1
1417,56,Male,49,Premium,Two-year,92.73,4543.77,1
1418,23,Male,53,Basic,Month-to-month,102.85,5451.05,0
1419,59,Female,12,Basic,One-year,117.42,1409.04,1
1420,50,Male,47,Premium,Two-year,57.29,2692.63,1
1421,67,Female,69,Basic,One-year,50.95,3515.55,1
1422,41,Male,11,Premium,Month-to-month,107.84,1186.24,0
1423,56,Female,12,Basic,Two-year,67.15,805.8,0
1424,36,Male,69,Premium,One-year,95.41,6583.29,0
1425,62,Female,66,Premium,Two-year,118.61,7828.26,0
1426,28,Female,24,Basic,Month-to-month,96.19,2308.56,0
1427,24,Female,61,Premium,Month-to-month,97.05,5920.05,1
1428,49,Female,67,Premium,Month-to-month,119.28,7991.76,1
1429,33,Female,44,Basic,Two-year,74.4,3273.6,1
1430,29,Female,47,Premium,Two-year,81.19,3815.93,1
1431,21,Male,33,Premium,Two-year,73.25,2417.25,1
1432,51,Female,35,Basic,One-year,92.73,3245.55,1
1433,23,Male,31,Basic,Month-to-month,50.13,1554.03,1
1434,24,Male,58,Premium,One-year,42.31,2453.98,1
1435,59,Male,6,Basic,Two-year,50.73,304.38,0
1436,43,Male,16,Premium,One-year,76.43,1222.88,1
1437,34,Female,7,Basic,One-year,84.99,594.93,1
1438,62,Female,70,Premium,One-year,111.91,7833.7,1
1439,53,Female,30,Premium,Month-to-month,46.59,1397.7,0
1440,45,Male,25,Premium,Two-year,56.06,1401.5,0
1441,57,Male,49,Premium,One-year,49.88,2444.12,0
1442,34,Female,36,Premium,Two-year,116.89,4208.04,0
1443,56,Male,1,Basic,Two-year,75.98,75.98,1
1444,27,Female,45,Premium,Month-to-month,111.79,5030.55,1
1445,51,Male,20,Premium,One-year,58.85,1177.0,1
